url,Perfume,Brand,Country,Gender,Rating Value,Rating Count,Year,Top,Middle,Base,Perfumer1,Perfumer2,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
https://www.fragrantica.com/perfume/diesel/zero-plus-masculine-493.html,zero-plus-masculine,diesel,Italy,men,342,690,2003.0,"nutmeg, cardamom, anise, orange, bergamot","cinnamon, rose, violet, jasmine, lily-of-the-valley","vanilla, musk, amber, heliotrope, patchouli",unknown,,warm spicy,cinnamon,powdery,vanilla,fresh spicy
https://www.fragrantica.com/perfume/mugler/alien-man-fusion-53459.html,alien-man-fusion,mugler,France,men,343,376,2019.0,"ginger, cinnamon","osmanthus, leather","coffee, beech",unknown,,warm spicy,coffee,floral,fruity,leather
https://www.fragrantica.com/perfume/viktor-rolf/good-fortune-74194.html,good-fortune,viktor-rolf,Netherlands,women,344,1739,2022.0,"fennel, gentiana",jasmine,madagascar vanilla,anne flipo,nicolas beaulieu,white floral,vanilla,soft spicy,floral,fresh
https://www.fragrantica.com/perfume/diesel/diesel-green-feminine-491.html,diesel-green-feminine,diesel,Italy,women,344,317,2004.0,"ginger, lime","cinnamon, cloves, carnation, jasmine, orange blossom, iris, rose","sandalwood, cedar, amber, vanilla, musk",unknown,,warm spicy,citrus,woody,cinnamon,powdery
https://www.fragrantica.com/perfume/azzaro/decibel-12434.html,decibel,azzaro,France,men,345,916,2011.0,"licorice, aldehydes, amalfi lemon","incense, violet","tonka bean, vanille, vetiver",christophe raynaud,,amber,vanilla,balsamic,soft spicy,smoky
https://www.fragrantica.com/perfume/azzaro/orange-tonic-1.html,orange-tonic,azzaro,France,women,345,88,,"orange, bergamot, grapefruit, basil, green notes, lemon, mint","honeysuckle, blueberry, lily-of-the-valley, jasmine, flowers","honey, amber, cedar, musk",nathalie feisthauer,,citrus,fresh spicy,green,sweet,aromatic
https://www.fragrantica.com/perfume/maison-martin-margiela/autumn-vibes-67789.html,autumn-vibes,maison-martin-margiela,France,unisex,345,2619,2021.0,"cardamom, pink pepper","nutmeg, maple, carrot seeds","cedar, moss",fanny bal,,woody,powdery,fresh spicy,warm spicy,mossy
https://www.fragrantica.com/perfume/yves-saint-laurent/y-elixir-90024.html,y-elixir,yves-saint-laurent,France,men,345,788,2024.0,lavender,geranium,"frankincense, oud",dominique ropion,,fresh spicy,aromatic,lavender,amber,herbal
https://www.fragrantica.com/perfume/diesel/only-the-brave-high-43412.html,only-the-brave-high,diesel,Italy,men,345,77,2017.0,"mint, grapefruit, ginger, yuzu",geranium,"woody notes, amber",carlos benaim,nicolas beaulieu,citrus,fresh spicy,aromatic,green,warm spicy
https://www.fragrantica.com/perfume/prada/prada-candy-sugar-pop-48030.html,prada-candy-sugar-pop,prada,Italy,women,346,591,2018.0,"red apple, citruses, bergamot leaf, bergamot","white peach, floral notes","vanilla, caramel",daniela (roche) andrier,,vanilla,caramel,sweet,fruity,citrus
https://www.fragrantica.com/perfume/giorgio-armani/emporio-armani-in-love-with-you-freeze-58809.html,emporio-armani-in-love-with-you-freeze,giorgio-armani,Italy,women,347,436,2020.0,"mandarin orange, cherry, bergamot, pear","peony, jasmine sambac, lily-of-the-valley","patchouli, woody notes, white musk, vetiver",unknown,,woody,patchouli,citrus,floral,fresh
https://www.fragrantica.com/perfume/prada/infusion-de-figue-80294.html,infusion-de-figue,prada,Italy,unisex,347,188,2023.0,mandarin orange,fig,"galbanum, mastic or lentisque",daniela (roche) andrier,,fruity,green,aromatic,balsamic,sweet
https://www.fragrantica.com/perfume/diesel/diesel-green-masculine-492.html,diesel-green-masculine,diesel,Italy,men,347,187,,"green notes, fir, canadian fir","jasmine, blue rose, mandarin orange, cyclamen, iris, orchid, carnation, geranium, ginger","sandalwood, musk, cedar, incense, amber",unknown,,woody,green,floral,powdery,aromatic
https://www.fragrantica.com/perfume/diesel/only-the-brave-wild-26131.html,only-the-brave-wild,diesel,Italy,men,348,281,2014.0,"lemongrass, grapefruit, black pepper","nutmeg, lavender, coumarin, geranium","coconut milk, moss, cedar, vetiver",antoine maisondieu,shyamala maisondieu,fresh spicy,citrus,coconut,aromatic,woody
https://www.fragrantica.com/perfume/diesel/spirit-of-the-brave-55037.html,spirit-of-the-brave,diesel,Italy,men,349,307,2019.0,"bergamot, galbanum","cypress, fir","tonka bean, labdanum",unknown,,aromatic,woody,fresh spicy,citrus,green
https://www.fragrantica.com/perfume/giorgio-armani/rose-milano-soie-de-nacre-79083.html,rose-milano-soie-de-nacre,giorgio-armani,Italy,unisex,35,32,2023.0,"lemon, bergamot","damask rose, jasmine","oakmoss, patchouli",unknown,,citrus,rose,white floral,floral,mossy
https://www.fragrantica.com/perfume/ralph-lauren/chaps-woman-11855.html,chaps-woman,ralph-lauren,USA,women,35,40,2007.0,"banana, carambola (star fruit), red berries","tuberose, jasmine, frangipani","woodsy notes, virginia cedar",unknown,,fruity,tropical,white floral,sweet,woody
https://www.fragrantica.com/perfume/viktor-rolf/sage-spell-42766.html,sage-spell,viktor-rolf,Netherlands,unisex,35,154,2017.0,"pink grapefruit, pink pepper","sage, peppermint","wormwood, patchouli",marie salamagne,,aromatic,fresh spicy,soft spicy,herbal,citrus
https://www.fragrantica.com/perfume/yves-saint-laurent/mon-paris-floral-eau-de-parfum-in-love-collector-59337.html,mon-paris-floral-eau-de-parfum-in-love-collector,yves-saint-laurent,France,women,35,32,2020.0,"peach, pear, raspberry, bergamot","magnolia, peony, orange blossom, jasmine sambac, datura","musk, patchouli, cashmeran",olivier cresp,,floral,fruity,white floral,musky,citrus
https://www.fragrantica.com/perfume/azzaro/jolie-rose-14946.html,jolie-rose,azzaro,France,women,351,69,2012.0,"black currant, kumquat, lemon","rose, water lily, violet","musk, cedar",unknown,,citrus,rose,floral,fruity,powdery
https://www.fragrantica.com/perfume/cacharel/anais-anais-236.html,anais-anais,cacharel,France,women,351,8756,1978.0,"white lily, hiacynth, honeysuckle, galbanum, orange blossom, lavender, bergamot, black currant, lemon","lily, lily-of-the-valley, moroccan jasmine, carnation, honeysuckle, tuberose, ylang-ylang, iris, rose, orris root","oakmoss, incense, musk, leather, sandalwood, vetiver, cedar, patchouli, amber",unknown,,white floral,floral,green,woody,earthy
https://www.fragrantica.com/perfume/maison-martin-margiela/flying-41188.html,flying,maison-martin-margiela,France,unisex,351,299,2016.0,"orange blossom, bergamot, petitgrain","neroli essence, ylang-ylang, almond blossom","ozonic notes, musk, moss",unknown,,citrus,white floral,floral,fresh spicy,ozonic
https://www.fragrantica.com/perfume/cacharel/noa-l-eau-2018-49112.html,noa-l-eau-2018,cacharel,France,women,352,29,2018.0,"green apple, cassis","peony, jasmine","musk, benzoin",unknown,,fresh,fruity,floral,musky,green
https://www.fragrantica.com/perfume/yves-saint-laurent/paris-rebel-collector-2014-27870.html,paris-rebel-collector-2014,yves-saint-laurent,France,women,353,32,2014.0,"citruses, pink pepper, tomato leaf",rose,"musk, woody notes, amber",loc dong,,rose,citrus,aromatic,fresh spicy,musky
https://www.fragrantica.com/perfume/guy-laroche/drakkar-essence-26410.html,drakkar-essence,guy-laroche,France,men,353,153,2014.0,"mint, grapefruit","lavender, sage, woody notes","musk, tonka bean",michel girard,,aromatic,fresh spicy,lavender,green,citrus
https://www.fragrantica.com/perfume/diesel/bad-39383.html,bad,diesel,Italy,men,353,659,2016.0,"lavender, bergamot, cardamom, violet leaf","caviar, orris root, sage","woody notes, tobacco, ambroxan, tonka bean, patchouli",anne flipo,carlos benaim,aromatic,woody,lavender,warm spicy,citrus
https://www.fragrantica.com/perfume/lancome/idole-eau-de-parfum-limited-edition-2021-70471.html,idole-eau-de-parfum-limited-edition-2021,lancome,France,women,354,28,2021.0,"pear, bergamot","turkish rose, may rose, indian jasmine","vanilla, white musk",unknown,,rose,vanilla,sweet,fruity,musky
https://www.fragrantica.com/perfume/lancome/o-de-lancome-fourreaute-51441.html,o-de-lancome-fourreaute,lancome,France,women,354,39,2018.0,"citruses, lemon, mandarin orange, bergamot, floral notes","green accord, basil, honeysuckle, jasmine, rosemary, coriander","vetiver, moss, sandalwood",unknown,,citrus,aromatic,green,fresh spicy,woody
https://www.fragrantica.com/perfume/atelier-cologne/mandarine-glaciale-30047.html,mandarine-glaciale,atelier-cologne,USA,unisex,354,727,2015.0,"mandarin orange, lemon, bergamot","ginger, petitgrain, jasmine","vetiver, oakmoss, white amber",jérôme epinette,,citrus,warm spicy,aromatic,earthy,woody
https://www.fragrantica.com/perfume/azzaro/azzaro-now-women-959.html,azzaro-now-women,azzaro,France,women,355,437,,"white tea, passionfruit, bergamot","aldehydes, tahitian tiare flower, jasmine","musk, brazilian rosewood, amber",alberto morillas,annie buzantian,fresh,white floral,aldehydic,citrus,sweet
https://www.fragrantica.com/perfume/diesel/diesel-zero-plus-feminine-3017.html,diesel-zero-plus-feminine,diesel,Italy,women,355,656,2000.0,"pineapple, nutmeg, cinnamon, red apple, plum, pepper, cassia, bitter orange","magnolia, orchid, lily-of-the-valley, jasmine, moroccan rose, iris","cacao, vanilla, white musk, amber, sandalwood, cedar",arturetto landi,,fruity,sweet,warm spicy,fresh spicy,powdery
https://www.fragrantica.com/perfume/azzaro/mademoiselle-l-eau-tres-charmante-54701.html,mademoiselle-l-eau-tres-charmante,azzaro,France,women,356,95,2019.0,"grapes, black currant","peony, pear","musk, sandalwood",karine dubreuil-sereni,,fruity,floral,fresh,sweet,musky
https://www.fragrantica.com/perfume/ralph-lauren/romance-eau-de-parfum-intense-88148.html,romance-eau-de-parfum-intense,ralph-lauren,USA,women,356,63,2023.0,"black currant, green mandarin, bergamot","violet leaves, marigold, rose, lily of the valley, ylang ylang","sandalwood, cedarwood, vanilla, patchouli",unknown,,woody,balsamic,aromatic,fruity,powdery
https://www.fragrantica.com/perfume/diesel/diesel-fuel-for-life-cologne-for-men-3609.html,diesel-fuel-for-life-cologne-for-men,diesel,Italy,men,356,66,2008.0,"star anise, pink pepper","lavender, raspberry","heliotrope, vetiver",annick menardo,jacques cavallier,lavender,soft spicy,aromatic,powdery,fruity
https://www.fragrantica.com/perfume/diesel/only-the-brave-silver-48462.html,only-the-brave-silver,diesel,Italy,men,356,27,2018.0,"mandarin orange, citron, coriander, lemon","rosemary, labdanum, violet leaf","leather, amber, cedar",unknown,,citrus,aromatic,woody,amber,leather
https://www.fragrantica.com/perfume/azzaro/azzaro-duo-women-10750.html,azzaro-duo-women,azzaro,France,women,357,196,2011.0,"passion flower, red apple, grapefruit","patchouli, orchid",musk,unknown,,floral,patchouli,fruity,sweet,woody
https://www.fragrantica.com/perfume/lancome/la-vie-est-belle-artist-edition-by-ladypink-51330.html,la-vie-est-belle-artist-edition-by-ladypink,lancome,France,women,357,42,2018.0,"black currant, pear","orange blossom, iris, jasmine sambac","patchouli, vanilla, praline, tonka bean",unknown,,sweet,vanilla,fruity,white floral,patchouli
https://www.fragrantica.com/perfume/mugler/angel-704.html,angel,mugler,France,women,357,29722,1992.0,"cotton candy, coconut, cassis, melon, jasmine, bergamot, pineapple, mandarin orange","honey, red berries, blackberry, plum, apricot, peach, jasmine, nutmeg, orchid, caraway, rose, lily-of-the-valley","patchouli, chocolate, caramel, vanilla, tonka bean, amber, musk, sandalwood",olivier cresp,yves de chirin,sweet,patchouli,fruity,warm spicy,caramel
https://www.fragrantica.com/perfume/biotherm/eau-relax-42923.html,eau-relax,biotherm,France,women,357,60,2017.0,"bitter orange, tea, bergamot","cardamom, lily-of-the-valley, jasmine","tonka bean, vanilla, white musk, patchouli",dominique ropion,fanny bal,citrus,warm spicy,vanilla,aromatic,fresh
https://www.fragrantica.com/perfume/azzaro/mademoiselle-l-eau-tre-s-belle-43011.html,mademoiselle-l-eau-tre-s-belle,azzaro,France,women,358,241,2017.0,"blueberry, red berries, grapefruit, orange","peach, jasmine, hawthorn, rose","macarons, violet, caramel, vanilla, sandalwood",karine dubreuil-sereni,,sweet,fruity,vanilla,powdery,fresh
https://www.fragrantica.com/perfume/cacharel/amor-amor-sunrise-5655.html,amor-amor-sunrise,cacharel,France,women,358,146,2009.0,"grapefruit, raspberry","pineapple, rose","musk, patchouli, amber",laurent bruyere,,fruity,sweet,citrus,musky,rose
https://www.fragrantica.com/perfume/cacharel/amor-pour-homme-sunshine-954.html,amor-pour-homme-sunshine,cacharel,France,men,358,36,,"mandarin orange, grapefruit, pink pepper, iced tea, basil","rose, rose hip, cardamom, nutmeg, brazilian rosewood","vetiver, musk",unknown,,citrus,rose,fresh spicy,aromatic,woody
https://www.fragrantica.com/perfume/lancome/la-vie-est-belle-glitter-22333.html,la-vie-est-belle-glitter,lancome,France,women,358,95,2013.0,"black currant, pear","iris, jasmine, orange blossom","praline, vanilla, patchouli, tonka bean",unknown,,sweet,fruity,vanilla,white floral,iris
https://www.fragrantica.com/perfume/lancome/miracle-ultra-pink-2213.html,miracle-ultra-pink,lancome,France,women,358,60,2004.0,"pink pepper, ginger","litchi, jasmine, magnolia, freesia","musk, amber, labdanum",unknown,,floral,musky,soft spicy,white floral,fruity
https://www.fragrantica.com/perfume/azzaro/mademoiselle-l-eau-tre-s-florale-49322.html,mademoiselle-l-eau-tre-s-florale,azzaro,France,women,359,195,2018.0,"quince, rhubarb","green leaves, tea rose","lily-of-the-valley, white musk, ambrette (musk mallow)",karine dubreuil-sereni,,green,fruity,sweet,floral,musky
https://www.fragrantica.com/perfume/mugler/secret-eau-de-toilette-53826.html,secret-eau-de-toilette,mugler,France,women,359,134,2018.0,"red currant, kumquat","violet leaf, rose petals","white musk, cedar",unknown,,musky,ozonic,fruity,rose,powdery
https://www.fragrantica.com/perfume/atelier-cologne/sud-magnolia-30048.html,sud-magnolia,atelier-cologne,USA,unisex,359,627,2015.0,"pomelo, bitter orange, black currant","magnolia, rose, saffron","musk, atlas cedar, sandalwood",jérôme epinette,,citrus,floral,woody,rose,fruity
https://www.fragrantica.com/perfume/azzaro/azzaro-chrome-parfum-79268.html,azzaro-chrome-parfum,azzaro,France,men,36,184,2023.0,bergamot,sage,fir resin,unknown,,aromatic,fresh spicy,woody,herbal,conifer
https://www.fragrantica.com/perfume/azzaro/wanted-tonic-59733.html,wanted-tonic,azzaro,France,men,36,412,2020.0,lime,ginger,patchouli,unknown,,citrus,warm spicy,patchouli,woody,conifer
https://www.fragrantica.com/perfume/giorgio-armani/emporio-armani-diamonds-eau-de-toilette-6084.html,emporio-armani-diamonds-eau-de-toilette,giorgio-armani,Italy,women,36,402,2009.0,"pink pepper, bergamot",rose,"vetiver, musk",unknown,,rose,musky,aromatic,soft spicy,citrus
https://www.fragrantica.com/perfume/maison-martin-margiela/when-the-rain-stops-70985.html,when-the-rain-stops,maison-martin-margiela,France,women,36,1976,2021.0,"green notes, bergamot, pink pepper","watery notes, rain notes, turkish rose, jasmine","pine tree, moss, patchouli",fanny bal,,aquatic,woody,green,ozonic,rose
https://www.fragrantica.com/perfume/mugler/innocent-rock-2588.html,innocent-rock,mugler,France,women,36,374,2008.0,"grapes, litchi",rose,pepper,nathalie feisthauer,,fruity,rose,fresh spicy,tropical,sweet
https://www.fragrantica.com/perfume/ralph-lauren/notorious-3908.html,notorious,ralph-lauren,USA,women,36,1051,2008.0,"pink pepper, black currant, bergamot","carnation, peony, white chocolate","patchouli, vanilla, musk, orris root",olivier gillotin,,floral,warm spicy,soft spicy,fruity,sweet
https://www.fragrantica.com/perfume/atelier-cologne/bohemian-orange-blossom-72555.html,bohemian-orange-blossom,atelier-cologne,USA,unisex,361,274,2022.0,orange,neroli,orange blossom,unknown,,citrus,white floral,sweet,fresh spicy,
https://www.fragrantica.com/perfume/aesop/miraceti-69186.html,miraceti,aesop,Australia,unisex,361,136,2021.0,"black pepper, pimento leaf, mate","ambrette (musk mallow), styrax, labdanum","myrrh, seaweed, cedar",barnabe fillion,,amber,warm spicy,woody,aromatic,musky
https://www.fragrantica.com/perfume/diesel/d-by-diesel-74965.html,d-by-diesel,diesel,Italy,unisex,361,347,2022.0,"ginger, bergamot","lavender, cotton flower","vanilla, amberwood",unknown,,lavender,vanilla,warm spicy,powdery,aromatic
https://www.fragrantica.com/perfume/azzaro/chrome-azure-92239.html,chrome-azure,azzaro,France,men,362,40,2024.0,bergamot,lavender,sea notes,unknown,,aromatic,marine,citrus,lavender,fresh spicy
https://www.fragrantica.com/perfume/azzaro/mademoiselle-azzaro-l-intense-eau-de-parfum-69675.html,mademoiselle-azzaro-l-intense-eau-de-parfum,azzaro,France,women,362,26,2021.0,pear,white flowers,calissons d'aix,unknown,,white floral,fruity,sweet,aquatic,fresh
https://www.fragrantica.com/perfume/cacharel/anais-anais-eau-legere-237.html,anais-anais-eau-legere,cacharel,France,women,362,183,2006.0,"lily, tiare flower, frangipani, ylang-ylang, white honey","honeysuckle, jasmine, african orange flower","chocolate flower, vanille, musk",olivier cresp,,white floral,floral,sweet,yellow floral,
https://www.fragrantica.com/perfume/yves-saint-laurent/libre-l-absolu-platine-83296.html,libre-l-absolu-platine,yves-saint-laurent,France,women,362,898,2023.0,"aldehydes, bergamot, mandarin orange","lavender, blue lavender, orange blossom","vanilla, amber",unknown,,citrus,lavender,aldehydic,white floral,aromatic
https://www.fragrantica.com/perfume/cacharel/eden-244.html,eden,cacharel,France,women,363,7766,1994.0,"peach, bergamot, mandarin orange, lemon","water lily, mimosa, tuberose, melon, lotus, pineapple, jasmine, lily-of-the-valley, rose","patchouli, black locust, sandalwood, cedar, tonka bean",jean guichard,,white floral,floral,woody,sweet,aquatic
https://www.fragrantica.com/perfume/valentino/valentino-gold-2035.html,valentino-gold,valentino,Italy,women,363,208,2002.0,"cardamom, lime, peach, mandarin orange","ginger, water lily, cranberry, rose","cinnamon, white musk, sandalwood, iris",antoine lie,cecile matton,warm spicy,citrus,powdery,cinnamon,woody
https://www.fragrantica.com/perfume/diesel/loverdose-l-eau-de-toilette-15055.html,loverdose-l-eau-de-toilette,diesel,Italy,women,363,251,2012.0,red apple,orange blossom,musk,olivier cresp,,musky,white floral,fruity,sweet,powdery
https://www.fragrantica.com/perfume/giorgio-armani/emporio-armani-diamonds-club-38911.html,emporio-armani-diamonds-club,giorgio-armani,Italy,women,364,47,2016.0,"mandarin orange, water notes",rose,patchouli,unknown,,citrus,aquatic,rose,patchouli,fresh
https://www.fragrantica.com/perfume/lancome/la-vie-est-belle-14982.html,la-vie-est-belle,lancome,France,women,364,28982,2012.0,"black currant, pear","iris, jasmine, orange blossom","praline, vanilla, patchouli, tonka bean",unknown,,sweet,vanilla,fruity,patchouli,woody
https://www.fragrantica.com/perfume/lancome/tresor-172.html,tresor,lancome,France,women,364,12043,1990.0,"peach, rose, apricot blossom, lilac, pineapple, lily-of-the-valley, bergamot","rose, iris, heliotrope, jasmine","peach, apricot, vanilla, sandalwood, amber, musk",sophia grojsman,,fruity,powdery,floral,sweet,rose
https://www.fragrantica.com/perfume/maison-martin-margiela/dancing-on-the-moon-41186.html,dancing-on-the-moon,maison-martin-margiela,France,unisex,364,447,2016.0,aldehydes,"frangipani, jasmine sambac, iris","cashmeran, ambergris, musk",unknown,,floral,musky,amber,powdery,tropical
https://www.fragrantica.com/perfume/prada/prada-candy-florale-24487.html,prada-candy-florale,prada,Italy,women,364,1997,2014.0,limoncello,peony,"honey, caramel, musk, benzoin",daniela (roche) andrier,,floral,fresh,honey,sweet,citrus
https://www.fragrantica.com/perfume/viktor-rolf/flowerbomb-bloom-42905.html,flowerbomb-bloom,viktor-rolf,Netherlands,women,364,541,2017.0,"pomegranate, mandarin orange","freesia, mountain air, damask rose, jasmine",woody notes,domitille michalon bertier,,woody,floral,citrus,rose,fresh
https://www.fragrantica.com/perfume/yves-saint-laurent/kouros-735.html,kouros,yves-saint-laurent,France,men,364,7401,1981.0,"aldehydes, coriander, clary sage, artemisia, bergamot","patchouli, carnation, geranium, vetiver, cinnamon, jasmine, orris root, lavender","civet, honey, leather, musk, oakmoss, amber, tonka bean, vanilla",pierre bourdon,,musky,animalic,aromatic,powdery,honey
https://www.fragrantica.com/perfume/mugler/alien-hypersense-89599.html,alien-hypersense,mugler,France,women,365,513,2024.0,"pear, green mandarin","jasmine sambac, indian jasmine","cashmeran, musk, amberwood, driftwood",dominique ropion,,white floral,woody,musky,amber,powdery
https://www.fragrantica.com/perfume/mugler/angel-intimate-star-11636.html,angel-intimate-star,mugler,France,women,365,96,2009.0,"bergamot, mandarin orange","cyclamen, white honey, red berries, blackberry, jasmine","patchouli, caramel, mexican chocolate, coumarin, sandalwood, vanille",unknown,,sweet,woody,fruity,warm spicy,citrus
https://www.fragrantica.com/perfume/yves-saint-laurent/l-homme-cologne-bleue-48308.html,l-homme-cologne-bleue,yves-saint-laurent,France,men,365,676,2018.0,"sea notes, grapefruit, mandarin orange, blood orange, cardamom, black pepper","lavender, apple, geranium, thyme","patchouli, sandalwood, cedar",juliette karagueuzoglou,,aromatic,citrus,fresh spicy,marine,woody
https://www.fragrantica.com/perfume/atelier-cologne/encens-celeste-76188.html,encens-celeste,atelier-cologne,USA,unisex,365,34,2022.0,bergamot,labdanum,incense,unknown,,amber,smoky,balsamic,warm spicy,woody
https://www.fragrantica.com/perfume/giorgio-armani/light-di-gioia-54301.html,light-di-gioia,giorgio-armani,Italy,women,366,782,2019.0,bergamot,"gardenia, jasmine","white musk, woodsy notes",olivier cresp,,white floral,citrus,musky,woody,lactonic
https://www.fragrantica.com/perfume/giorgio-armani/emporio-armani-diamonds-rocks-26163.html,emporio-armani-diamonds-rocks,giorgio-armani,Italy,men,366,47,2014.0,"grapefruit, black pepper, apple","sea notes, violet, geranium","guaiac wood, cedar, vetiver",unknown,,aromatic,fresh spicy,woody,marine,violet
https://www.fragrantica.com/perfume/maison-martin-margiela/sailing-day-47891.html,sailing-day,maison-martin-margiela,France,unisex,366,2647,2017.0,"sea notes, aldehydes, coriander, red pepper","juniper, iris, amyl salicylate, rose","seaweed, ambergris, cedar, amberwood",unknown,,marine,aromatic,aldehydic,aquatic,woody
https://www.fragrantica.com/perfume/valentino/rock-n-rose-774.html,rock-n-rose,valentino,Italy,women,366,1521,2006.0,"black currant, bergamot, green notes","rose, gardenia, orange blossom, lily-of-the-valley","vanilla, musk, orris root, sandalwood, heliotrope",francoise caron,,rose,white floral,powdery,fruity,floral
https://www.fragrantica.com/perfume/atelier-cologne/ambre-nue-14269.html,ambre-nue,atelier-cologne,USA,unisex,366,680,2012.0,"mandarin orange, tagetes, bergamot","benzoin, cinnamon, orchid","french labdanum, tonka bean, patchouli",unknown,,amber,warm spicy,citrus,balsamic,sweet
https://www.fragrantica.com/perfume/biotherm/biotherm-homme-force-8569.html,biotherm-homme-force,biotherm,France,men,366,106,2010.0,"grapefruit, lime, mandarin orange","cardamom, neroli, wormwood","virginia cedar, vetyver, amber, patchouli",bruno jovanovic,,citrus,aromatic,woody,warm spicy,fresh spicy
https://www.fragrantica.com/perfume/azzaro/azzaro-sport-61697.html,azzaro-sport,azzaro,France,men,367,239,2020.0,lavender,clary sage,"tonka bean, sandalwood",unknown,,aromatic,lavender,woody,vanilla,warm spicy
https://www.fragrantica.com/perfume/lancome/la-vie-est-belle-l-extrait-84073.html,la-vie-est-belle-l-extrait,lancome,France,women,367,499,2023.0,"frankincense, red fruits, bergamot","iris pallida, damask rose",oud,anne flipo,dominique ropion,oud,amber,rose,fresh spicy,fruity
https://www.fragrantica.com/perfume/maison-martin-margiela/bubble-bath-60105.html,bubble-bath,maison-martin-margiela,France,unisex,367,3337,2020.0,"soap, bergamot","lavender, jasmine, rose","coconut, white musk, patchouli",unknown,,soapy,coconut,musky,sweet,lavender
